event,support,non_rumor,rumor,accuracy,macro_f1,rumor_f1,tn,fp,fn,tp,mean_prob_rumor
0,13,7,6,0.7692307692307693,0.7450980392156863,0.6666666666666666,7,0,3,3,0.28038367473641324
1,109,85,24,0.8532110091743119,0.706989247311828,0.5,85,0,16,8,0.15801993743880247
2,1,0,1,1.0,0.5,1.0,0,0,0,1,0.6923977834749356
3,22,0,22,1.0,0.5,1.0,0,0,0,22,0.9495918124569446
4,46,23,23,0.8913043478260869,0.8912529550827423,0.8888888888888888,21,2,3,20,0.5054284614864294
5,121,69,52,0.8677685950413223,0.8651059085841695,0.8461538461538461,61,8,8,44,0.4360854906961942
6,89,42,47,0.9101123595505618,0.9101010101010101,0.9090909090909091,41,1,7,40,0.49399859436477517
