threshold,accuracy,macro_f1,rumor_f1,precision_0,recall_0,precision_1,recall_1,tn,fp,fn,tp,fold,train_size,dev_size
0.5,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8284883720930233,0.8934169278996865,0.8475336322869955,0.7620967741935484,285,34,59,189,1,2266,567
0.5,0.8641975308641975,0.8608455911647994,0.8392484342379958,0.8601190476190477,0.9059561128526645,0.8701298701298701,0.8104838709677419,289,30,47,201,2,2266,567
0.5,0.8800705467372134,0.878049089068826,0.8623481781376519,0.89375,0.89375,0.8623481781376519,0.8623481781376519,286,34,34,213,3,2266,567
0.5,0.8621908127208481,0.8577504543169778,0.8326180257510729,0.8472622478386167,0.9216300940438872,0.8858447488584474,0.7854251012145749,294,25,53,194,4,2267,566
0.5,0.8780918727915195,0.8751418697068613,0.8559498956158664,0.874251497005988,0.9153605015673981,0.8836206896551724,0.8299595141700404,292,27,42,205,5,2267,566
